Model Name,Release Date,Company/Provider,Parameters,Context Window,Architecture,Modality,Model Type,Public Access,Features,Notable Achievements
Qwen-14B via Together,2023-09-25T00:00:00Z,Open-Source Community / Together (API),Unknown,8192,,text,Language Model,Yes,,
Qwen-14B via Replicate,2023-09-25T00:00:00Z,Open-Source Community / Replicate (API),Unknown,8192,,text,Language Model,Yes,,
Qwen-14B via Baseten,2023-09-25T00:00:00Z,Open-Source Community / Baseten (API),Unknown,8192,,text,Language Model,Yes,,
Mistral 7B,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q8_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orca,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orion,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat,2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orca (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orca (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orca (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orion (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orion (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Orion (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat (GGUF-Q4_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat (GGUF-Q4_1),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat (GGUF-Q5_0),2023-09-27T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_0) via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_0) via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_0) via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_1) via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_1) via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q4_1) via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_0) via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_0) via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_0) via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_1) via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_1) via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q5_1) via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q8_0) via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q8_0) via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B (GGUF-Q8_0) via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orca via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orca via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orca via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Hermes via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Neural-Chat via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-OpenHermes via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Airoboros via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orion via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orion via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Orion via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-Platypus via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat via Together,2023-09-27T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat via Replicate,2023-09-27T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B-UltraChat via Baseten,2023-09-27T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Atom-7B,2023-10-01T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Atom-7B (GGUF-Q4_0),2023-10-01T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Atom-7B (GGUF-Q4_1),2023-10-01T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Atom-7B (GGUF-Q5_0),2023-10-01T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Atom-7B via Together,2023-10-01T00:00:00Z,Open-Source Community / Together (API),Unknown,4096,,text,Language Model,Yes,,
Atom-7B via Replicate,2023-10-01T00:00:00Z,Open-Source Community / Replicate (API),Unknown,4096,,text,Language Model,Yes,,
Atom-7B via Baseten,2023-10-01T00:00:00Z,Open-Source Community / Baseten (API),Unknown,4096,,text,Language Model,Yes,,
Mistral 7B Instruct,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q8_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat,2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat (GGUF-Q4_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat (GGUF-Q4_1),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat (GGUF-Q5_0),2023-10-03T00:00:00Z,Mistral / Mistral,7B,8192,,text,Language Model,No,,
Mistral 7B Instruct via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_0) via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_0) via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_0) via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_1) via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_1) via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q4_1) via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_0) via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_0) via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_0) via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_1) via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_1) via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q5_1) via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q8_0) via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q8_0) via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct (GGUF-Q8_0) via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orca via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Hermes via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Neural-Chat via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-OpenHermes via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Airoboros via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Orion via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-Platypus via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat via Together,2023-10-03T00:00:00Z,Mistral / Together (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat via Replicate,2023-10-03T00:00:00Z,Mistral / Replicate (API),7B,8192,,text,Language Model,No,,
Mistral 7B Instruct-UltraChat via Baseten,2023-10-03T00:00:00Z,Mistral / Baseten (API),7B,8192,,text,Language Model,No,,
Zephyr-7B,2023-10-16T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B (GGUF-Q4_0),2023-10-16T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B (GGUF-Q4_1),2023-10-16T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B (GGUF-Q5_0),2023-10-16T00:00:00Z,Open-Source Community / Community,Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B via Together,2023-10-16T00:00:00Z,Open-Source Community / Together (API),Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B via Replicate,2023-10-16T00:00:00Z,Open-Source Community / Replicate (API),Unknown,4096,,text,Language Model,Yes,,
Zephyr-7B via Baseten,2023-10-16T00:00:00Z,Open-Source Community / Baseten (API),Unknown,4096,,text,Language Model,Yes,,
StableVicuna-13B,2023-10-19T00:00:00Z,Open-Source Community / Community,Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B (GGUF-Q4_0),2023-10-19T00:00:00Z,Open-Source Community / Community,Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B (GGUF-Q4_1),2023-10-19T00:00:00Z,Open-Source Community / Community,Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B (GGUF-Q5_0),2023-10-19T00:00:00Z,Open-Source Community / Community,Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B via Together,2023-10-19T00:00:00Z,Open-Source Community / Together (API),Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B via Replicate,2023-10-19T00:00:00Z,Open-Source Community / Replicate (API),Unknown,2048,,text,Language Model,Yes,,
StableVicuna-13B via Baseten,2023-10-19T00:00:00Z,Open-Source Community / Baseten (API),Unknown,2048,,text,Language Model,Yes,,
ChatGLM3,2023-10-27T00:00:00Z,Open-Source Community / Community,Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 (GGUF-Q4_0),2023-10-27T00:00:00Z,Open-Source Community / Community,Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 (GGUF-Q4_1),2023-10-27T00:00:00Z,Open-Source Community / Community,Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 (GGUF-Q5_0),2023-10-27T00:00:00Z,Open-Source Community / Community,Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 via Together,2023-10-27T00:00:00Z,Open-Source Community / Together (API),Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 via Replicate,2023-10-27T00:00:00Z,Open-Source Community / Replicate (API),Unknown,128000,,text,Language Model,Yes,,
ChatGLM3 via Baseten,2023-10-27T00:00:00Z,Open-Source Community / Baseten (API),Unknown,128000,,text,Language Model,Yes,,
GPT-4 Turbo,2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,128000,,"text, image",Language Model,No,,
GPT-3.5 Turbo 1106,2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,16000,,"text, image",Language Model,No,,
dall-e-3,2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
GPT-4 Turbo (GGUF-Q4_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,128000,,"text, image",Language Model,No,,
GPT-4 Turbo (GGUF-Q4_1),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,128000,,"text, image",Language Model,No,,
GPT-4 Turbo (GGUF-Q5_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,128000,,"text, image",Language Model,No,,
GPT-3.5 Turbo 1106 (GGUF-Q4_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,16000,,"text, image",Language Model,No,,
GPT-3.5 Turbo 1106 (GGUF-Q4_1),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,16000,,"text, image",Language Model,No,,
GPT-3.5 Turbo 1106 (GGUF-Q5_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,16000,,"text, image",Language Model,No,,
dall-e-3 (GGUF-Q4_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-3 (GGUF-Q4_1),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
dall-e-3 (GGUF-Q5_0),2023-11-06T00:00:00Z,OpenAI / OpenAI,Unknown,4096,,text,Language Model,No,,
GPT-4 Turbo via Together,2023-11-06T00:00:00Z,OpenAI / Together (API),Unknown,128000,,"text, image",Language Model,No,,
GPT-4 Turbo via Replicate,2023-11-06T00:00:00Z,OpenAI / Replicate (API),Unknown,128000,,"text, image",Language Model,No,,
